TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
10/03/2020,78,Barcelona,40-49,1,Dona,Positiu,5
10/03/2020,67,Catalunya Central,60-69,1,Dona,Positiu,1
10/03/2020,67,Catalunya Central,80-89,1,Dona,Positiu,1
10/03/2020,61,Lleida,90+,0,Home,Positiu,1
10/03/2020,67,Catalunya Central,70-79,1,Dona,Positiu,1
10/03/2020,62,Camp de Tarragona,70-79,1,Dona,Sospitós,1
10/03/2020,78,Barcelona,30-39,0,Home,Sospitós,10
10/03/2020,67,Catalunya Central,40-49,1,Dona,Positiu,3
10/03/2020,78,Barcelona,80-89,0,Home,Positiu,3
10/03/2020,63,Terres de l'Ebre,10-19,0,Home,Sospitós,1
10/03/2020,64,Girona,80-89,1,Dona,Sospitós,2
10/03/2020,78,Barcelona,80-89,0,Home,Sospitós,6
10/03/2020,67,Catalunya Central,60-69,0,Home,Sospitós,2
10/03/2020,62,Camp de Tarragona,50-59,1,Dona,Sospitós,1
10/03/2020,67,Catalunya Central,30-39,0,Home,Positiu,1
10/03/2020,67,Catalunya Central,80-89,0,Home,Positiu,1
10/03/2020,67,Catalunya Central,60-69,0,Home,Positiu,1
10/03/2020,78,Barcelona,50-59,0,Home,Sospitós,5
10/03/2020,67,Catalunya Central,70-79,0,Home,Sospitós,1
10/03/2020,00,No classificat,80-89,1,Dona,Sospitós,1
10/03/2020,78,Barcelona,20-29,0,Home,Sospitós,5
10/03/2020,00,No classificat,90+,1,Dona,Sospitós,1
10/03/2020,64,Girona,80-89,0,Home,Sospitós,2
10/03/2020,64,Girona,20-29,1,Dona,Positiu,1
10/03/2020,67,Catalunya Central,20-29,1,Dona,Sospitós,2
10/03/2020,67,Catalunya Central,20-29,1,Dona,Positiu,3
10/03/2020,00,No classificat,20-29,0,Home,Sospitós,2
10/03/2020,00,No classificat,20-29,1,Dona,Sospitós,1
10/03/2020,00,No classificat,30-39,1,Dona,Sospitós,1
10/03/2020,00,No classificat,60-69,1,Dona,Sospitós,1
11/03/2020,78,Barcelona,60-69,0,Home,Sospitós,11
11/03/2020,78,Barcelona,50-59,0,Home,Sospitós,11
11/03/2020,78,Barcelona,20-29,0,Home,Positiu,3
11/03/2020,78,Barcelona,40-49,0,Home,Positiu,8
11/03/2020,78,Barcelona,40-49,1,Dona,Sospitós,22
11/03/2020,78,Barcelona,50-59,1,Dona,Positiu,10
11/03/2020,78,Barcelona,40-49,0,Home,Sospitós,20
11/03/2020,78,Barcelona,60-69,1,Dona,Sospitós,6
11/03/2020,78,Barcelona,30-39,0,Home,Sospitós,5
11/03/2020,78,Barcelona,50-59,1,Dona,Sospitós,9
11/03/2020,78,Barcelona,20-29,0,Home,Sospitós,7
11/03/2020,78,Barcelona,30-39,1,Dona,Sospitós,19
11/03/2020,78,Barcelona,70-79,1,Dona,Sospitós,7
11/03/2020,62,Camp de Tarragona,60-69,0,Home,Sospitós,1
11/03/2020,78,Barcelona,90+,1,Dona,Sospitós,3
11/03/2020,67,Catalunya Central,70-79,0,Home,Sospitós,1
11/03/2020,64,Girona,30-39,1,Dona,Sospitós,1
11/03/2020,64,Girona,70-79,0,Home,Sospitós,1
11/03/2020,63,Terres de l'Ebre,10-19,1,Dona,Positiu,1
11/03/2020,62,Camp de Tarragona,20-29,0,Home,Sospitós,2
11/03/2020,78,Barcelona,10-19,1,Dona,Sospitós,4
11/03/2020,67,Catalunya Central,40-49,1,Dona,Positiu,1
11/03/2020,62,Camp de Tarragona,80-89,0,Home,Sospitós,4
11/03/2020,78,Barcelona,30-39,0,Home,Positiu,5
11/03/2020,67,Catalunya Central,80-89,1,Dona,Positiu,1
11/03/2020,64,Girona,50-59,1,Dona,Sospitós,1
11/03/2020,64,Girona,10-19,0,Home,Sospitós,1
11/03/2020,64,Girona,60-69,1,Dona,Sospitós,1
11/03/2020,78,Barcelona,30-39,1,Dona,Positiu,7
11/03/2020,78,Barcelona,80-89,1,Dona,Sospitós,14
11/03/2020,78,Barcelona,10-19,0,Home,Positiu,1
11/03/2020,78,Barcelona,80-89,0,Home,Positiu,6
11/03/2020,63,Terres de l'Ebre,50-59,0,Home,Sospitós,1
11/03/2020,61,Lleida,60-69,0,Home,Positiu,1
11/03/2020,63,Terres de l'Ebre,60-69,1,Dona,Positiu,1
11/03/2020,78,Barcelona,50-59,0,Home,Positiu,3
