TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos,date
15/05/2020,6400,Girona,40-49,1,Dona,Positiu,1,2020-05-15
15/05/2020,6400,Girona,20-29,1,Dona,Positiu,3,2020-05-15
15/05/2020,6200,Camp de Tarragona,60-69,0,Home,Sospitós,5,2020-05-15
15/05/2020,7802,Metropolità Nord,70-79,0,Home,Sospitós,50,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,90+,0,Home,Sospitós,1,2020-05-15
15/05/2020,7801,Metropolità Sud,90+,1,Dona,Positiu,3,2020-05-15
15/05/2020,7803,Barcelona Ciutat,0-9,0,Home,Sospitós,4,2020-05-15
15/05/2020,6700,Catalunya Central,30-39,0,Home,Sospitós,17,2020-05-15
15/05/2020,7803,Barcelona Ciutat,30-39,0,Home,Positiu,1,2020-05-15
15/05/2020,7802,Metropolità Nord,80-89,1,Dona,Positiu,2,2020-05-15
15/05/2020,6300,Terres de l'Ebre,60-69,0,Home,Sospitós,1,2020-05-15
15/05/2020,6700,Catalunya Central,90+,1,Dona,Sospitós,3,2020-05-15
15/05/2020,6100,Lleida,0-9,1,Dona,Sospitós,3,2020-05-15
15/05/2020,6700,Catalunya Central,20-29,0,Home,Sospitós,6,2020-05-15
15/05/2020,6300,Terres de l'Ebre,30-39,0,Home,Sospitós,1,2020-05-15
15/05/2020,6200,Camp de Tarragona,40-49,1,Dona,Sospitós,10,2020-05-15
15/05/2020,7802,Metropolità Nord,20-29,1,Dona,Positiu,3,2020-05-15
15/05/2020,6700,Catalunya Central,30-39,1,Dona,Sospitós,18,2020-05-15
15/05/2020,7801,Metropolità Sud,50-59,0,Home,Sospitós,45,2020-05-15
15/05/2020,6400,Girona,30-39,1,Dona,Sospitós,29,2020-05-15
15/05/2020,7801,Metropolità Sud,30-39,1,Dona,Positiu,2,2020-05-15
15/05/2020,6700,Catalunya Central,20-29,1,Dona,Sospitós,12,2020-05-15
15/05/2020,7802,Metropolità Nord,30-39,1,Dona,Sospitós,62,2020-05-15
15/05/2020,6700,Catalunya Central,0-9,0,Home,Sospitós,4,2020-05-15
15/05/2020,7803,Barcelona Ciutat,20-29,0,Home,Sospitós,17,2020-05-15
15/05/2020,6400,Girona,20-29,1,Dona,Sospitós,18,2020-05-15
15/05/2020,6200,Camp de Tarragona,70-79,1,Dona,Sospitós,3,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,80-89,1,Dona,Sospitós,10,2020-05-15
15/05/2020,6400,Girona,90+,1,Dona,Sospitós,14,2020-05-15
